Numero de qubits: 50 
Dimension max: dim 
Threads (LinearAlgebra) :15
Threads (Julia) :1


After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.30E-110 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.30E-110 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.30E-110 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.30E-110 time=0.012
After sweep 1 energy=-12.499987284553132  maxlinkdim=32 maxerr=3.78E-11 time=0.084
After sweep 1 energy=-12.499999999966423  maxlinkdim=15 maxerr=3.20E-15 time=0.050
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.89E-16 time=0.018
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.67E-101 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.67E-101 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.67E-101 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.67E-101 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.67E-101 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.67E-101 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=8.67E-101 time=0.010
After sweep 1 energy=-12.499988505228758  maxlinkdim=32 maxerr=9.31E-12 time=0.084
After sweep 1 energy=-12.49999999996658  maxlinkdim=14 maxerr=1.07E-14 time=0.049
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.65E-16 time=0.015
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.16E-89 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.16E-89 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.16E-89 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.16E-89 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.16E-89 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.16E-89 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.16E-89 time=0.012
After sweep 1 energy=-12.499983481862635  maxlinkdim=32 maxerr=1.59E-10 time=0.244
After sweep 1 energy=-12.499999999974083  maxlinkdim=20 maxerr=2.40E-14 time=0.055
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.10E-16 time=0.015
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.01E-91 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.01E-91 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.01E-91 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.01E-91 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.01E-91 time=0.022
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.01E-91 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.01E-91 time=0.010
After sweep 1 energy=-12.499152658262823  maxlinkdim=32 maxerr=1.36E-08 time=0.086
After sweep 1 energy=-12.499999986010517  maxlinkdim=32 maxerr=7.29E-12 time=0.099
After sweep 1 energy=-12.50000000000002  maxlinkdim=4 maxerr=9.58E-16 time=0.035
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.73E-22 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.85E-90 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.85E-90 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.85E-90 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.85E-90 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.85E-90 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=7.85E-90 time=0.010
After sweep 1 energy=-12.49998317883787  maxlinkdim=32 maxerr=3.22E-11 time=0.083
After sweep 1 energy=-12.49999999999828  maxlinkdim=14 maxerr=2.44E-15 time=0.050
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.58E-16 time=0.017
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.18E-108 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.18E-108 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.18E-108 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.18E-108 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.18E-108 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.18E-108 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.18E-108 time=0.010
After sweep 1 energy=-12.499990366877107  maxlinkdim=32 maxerr=2.75E-11 time=0.084
After sweep 1 energy=-12.49999999998452  maxlinkdim=14 maxerr=3.76E-15 time=0.051
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=6.35E-16 time=0.015
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.06E-117 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.06E-117 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.06E-117 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.06E-117 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.06E-117 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.06E-117 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.06E-117 time=0.010
Numero de qubits: 50 
Dimension max: dim 
Threads (LinearAlgebra) :15
Threads (Julia) :1


After sweep 1 energy=-12.62528045638365  maxlinkdim=32 maxerr=2.12E-10 time=0.089
After sweep 1 energy=-12.625315674369226  maxlinkdim=29 maxerr=5.16E-13 time=0.086
After sweep 1 energy=-12.625315674765453  maxlinkdim=7 maxerr=1.00E-15 time=0.030
After sweep 1 energy=-12.62531567476548  maxlinkdim=6 maxerr=8.64E-16 time=0.023
After sweep 1 energy=-12.62531567476545  maxlinkdim=6 maxerr=8.64E-16 time=0.023
After sweep 1 energy=-12.625315674765446  maxlinkdim=6 maxerr=8.64E-16 time=0.020
After sweep 1 energy=-12.625315674765437  maxlinkdim=6 maxerr=8.64E-16 time=0.023
After sweep 1 energy=-12.625315674765462  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625315674765474  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.62531567476545  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625297964912718  maxlinkdim=32 maxerr=5.75E-11 time=0.085
After sweep 1 energy=-12.625315674684524  maxlinkdim=28 maxerr=2.10E-13 time=0.075
After sweep 1 energy=-12.625315674765451  maxlinkdim=7 maxerr=9.94E-16 time=0.028
After sweep 1 energy=-12.625315674765467  maxlinkdim=6 maxerr=8.65E-16 time=0.020
After sweep 1 energy=-12.625315674765464  maxlinkdim=6 maxerr=8.65E-16 time=0.020
After sweep 1 energy=-12.625315674765464  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625315674765433  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625315674765451  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625315674765458  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.62531567476546  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.62527074999606  maxlinkdim=32 maxerr=3.55E-10 time=0.085
After sweep 1 energy=-12.625315673901765  maxlinkdim=29 maxerr=4.93E-13 time=0.082
After sweep 1 energy=-12.625315674765456  maxlinkdim=7 maxerr=9.98E-16 time=0.027
After sweep 1 energy=-12.625315674765481  maxlinkdim=6 maxerr=8.64E-16 time=0.023
After sweep 1 energy=-12.625315674765428  maxlinkdim=6 maxerr=8.64E-16 time=0.023
After sweep 1 energy=-12.625315674765437  maxlinkdim=6 maxerr=8.64E-16 time=0.023
After sweep 1 energy=-12.625315674765435  maxlinkdim=6 maxerr=8.64E-16 time=0.023
After sweep 1 energy=-12.625315674765446  maxlinkdim=6 maxerr=8.64E-16 time=0.020
After sweep 1 energy=-12.625315674765455  maxlinkdim=6 maxerr=8.64E-16 time=0.020
After sweep 1 energy=-12.625315674765439  maxlinkdim=6 maxerr=8.64E-16 time=0.023
After sweep 1 energy=-12.625284727791579  maxlinkdim=32 maxerr=4.44E-11 time=0.284
After sweep 1 energy=-12.625315674231041  maxlinkdim=22 maxerr=2.57E-14 time=0.085
After sweep 1 energy=-12.62531567476551  maxlinkdim=7 maxerr=9.94E-16 time=0.026
After sweep 1 energy=-12.625315674765206  maxlinkdim=6 maxerr=8.64E-16 time=0.025
After sweep 1 energy=-12.625315674765146  maxlinkdim=6 maxerr=8.64E-16 time=0.031
After sweep 1 energy=-12.625315674765142  maxlinkdim=6 maxerr=8.64E-16 time=0.020
After sweep 1 energy=-12.625315674765128  maxlinkdim=6 maxerr=8.64E-16 time=0.025
After sweep 1 energy=-12.62531567476514  maxlinkdim=6 maxerr=8.65E-16 time=0.024
After sweep 1 energy=-12.625315674765165  maxlinkdim=6 maxerr=8.65E-16 time=0.033
After sweep 1 energy=-12.625315674765178  maxlinkdim=6 maxerr=8.65E-16 time=0.020
After sweep 1 energy=-12.625283947253802  maxlinkdim=32 maxerr=3.73E-10 time=0.087
After sweep 1 energy=-12.625309264206079  maxlinkdim=18 maxerr=5.28E-14 time=0.065
After sweep 1 energy=-12.625309264295955  maxlinkdim=3 maxerr=9.95E-16 time=0.023
After sweep 1 energy=-12.625309264296076  maxlinkdim=3 maxerr=5.33E-16 time=0.022
After sweep 1 energy=-12.62530926429607  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625309264296073  maxlinkdim=3 maxerr=5.33E-16 time=0.020
After sweep 1 energy=-12.625309264296071  maxlinkdim=3 maxerr=5.33E-16 time=0.020
After sweep 1 energy=-12.625309264296094  maxlinkdim=3 maxerr=5.33E-16 time=0.020
After sweep 1 energy=-12.625309264296106  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.6253092642961  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625292793182263  maxlinkdim=32 maxerr=3.68E-11 time=0.085
After sweep 1 energy=-12.625309264165056  maxlinkdim=24 maxerr=1.90E-13 time=0.058
After sweep 1 energy=-12.625309264296058  maxlinkdim=4 maxerr=8.30E-16 time=0.022
After sweep 1 energy=-12.62530926429611  maxlinkdim=3 maxerr=5.37E-16 time=0.021
After sweep 1 energy=-12.625309264296089  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625309264296085  maxlinkdim=3 maxerr=5.33E-16 time=0.020
After sweep 1 energy=-12.625309264296083  maxlinkdim=3 maxerr=5.33E-16 time=0.020
After sweep 1 energy=-12.625309264296074  maxlinkdim=3 maxerr=5.33E-16 time=0.020
After sweep 1 energy=-12.625309264296089  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625309264296085  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625305309019305  maxlinkdim=32 maxerr=5.89E-11 time=0.085
After sweep 1 energy=-12.625315674700841  maxlinkdim=24 maxerr=2.95E-14 time=0.071
After sweep 1 energy=-12.625315674807096  maxlinkdim=9 maxerr=9.86E-16 time=0.028
After sweep 1 energy=-12.625315674807053  maxlinkdim=7 maxerr=7.95E-16 time=0.025
After sweep 1 energy=-12.62531567480703  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807018  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807045  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807041  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.62531567480703  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807025  maxlinkdim=7 maxerr=7.59E-16 time=0.025
After sweep 1 energy=-12.625295395406017  maxlinkdim=32 maxerr=6.58E-11 time=0.083
After sweep 1 energy=-12.62531567469245  maxlinkdim=19 maxerr=1.43E-14 time=0.067
After sweep 1 energy=-12.625315674765494  maxlinkdim=6 maxerr=9.64E-16 time=0.025
After sweep 1 energy=-12.625315674765446  maxlinkdim=6 maxerr=8.65E-16 time=0.021
After sweep 1 energy=-12.62531567476547  maxlinkdim=6 maxerr=8.65E-16 time=0.020
After sweep 1 energy=-12.625315674765435  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625315674765472  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625315674765448  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.62531567476546  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625315674765469  maxlinkdim=6 maxerr=8.65E-16 time=0.020
After sweep 1 energy=-12.625267852917542  maxlinkdim=32 maxerr=3.80E-10 time=0.083
After sweep 1 energy=-12.625309264219258  maxlinkdim=14 maxerr=9.98E-16 time=0.054
After sweep 1 energy=-12.625309264295936  maxlinkdim=4 maxerr=8.69E-16 time=0.023
After sweep 1 energy=-12.62530926429606  maxlinkdim=3 maxerr=5.37E-16 time=0.019
After sweep 1 energy=-12.62530926429604  maxlinkdim=3 maxerr=5.33E-16 time=0.021
After sweep 1 energy=-12.625309264296094  maxlinkdim=3 maxerr=5.33E-16 time=0.021
After sweep 1 energy=-12.62530926429609  maxlinkdim=3 maxerr=5.33E-16 time=0.021
After sweep 1 energy=-12.625309264296114  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625309264296062  maxlinkdim=3 maxerr=5.33E-16 time=0.021
After sweep 1 energy=-12.625309264296034  maxlinkdim=3 maxerr=5.33E-16 time=0.021
After sweep 1 energy=-12.625285498079792  maxlinkdim=32 maxerr=3.52E-11 time=0.085
After sweep 1 energy=-12.625309264017991  maxlinkdim=19 maxerr=1.68E-14 time=0.062
After sweep 1 energy=-12.625309264295932  maxlinkdim=4 maxerr=9.97E-16 time=0.023
After sweep 1 energy=-12.62530926429609  maxlinkdim=3 maxerr=5.37E-16 time=0.021
After sweep 1 energy=-12.625309264296094  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625309264296027  maxlinkdim=3 maxerr=5.33E-16 time=0.021
After sweep 1 energy=-12.62530926429605  maxlinkdim=3 maxerr=5.33E-16 time=0.021
After sweep 1 energy=-12.625309264296092  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625309264296057  maxlinkdim=3 maxerr=5.33E-16 time=0.018
After sweep 1 energy=-12.625309264296058  maxlinkdim=3 maxerr=5.33E-16 time=0.021
After sweep 1 energy=-12.625287361981767  maxlinkdim=32 maxerr=8.36E-11 time=0.254
After sweep 1 energy=-12.625309264213055  maxlinkdim=17 maxerr=4.32E-15 time=0.066
After sweep 1 energy=-12.625309264296087  maxlinkdim=3 maxerr=9.67E-16 time=0.021
After sweep 1 energy=-12.625309264296085  maxlinkdim=3 maxerr=5.33E-16 time=0.023
After sweep 1 energy=-12.62530926429607  maxlinkdim=3 maxerr=5.33E-16 time=0.031
After sweep 1 energy=-12.625309264296083  maxlinkdim=3 maxerr=5.33E-16 time=0.018
