Numero de qubits: 50 
Dimension max: 64 
p= 6 
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-90 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-90 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-90 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-90 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-90 time=0.010
After sweep 1 energy=-12.499998616318914  maxlinkdim=63 maxerr=9.86E-16 time=0.321
After sweep 1 energy=-12.49999999999985  maxlinkdim=8 maxerr=9.94E-16 time=0.063
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.87E-16 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.55E-120 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.55E-120 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.55E-120 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.55E-120 time=0.022
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.55E-120 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.55E-120 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.55E-120 time=0.011
After sweep 1 energy=-12.49999889238946  maxlinkdim=63 maxerr=9.60E-16 time=0.133
After sweep 1 energy=-12.499999999996401  maxlinkdim=11 maxerr=9.86E-16 time=0.067
After sweep 1 energy=-12.500000000000007  maxlinkdim=1 maxerr=6.78E-16 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.60E-86 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.60E-86 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.60E-86 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.60E-86 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.60E-86 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.60E-86 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.60E-86 time=0.012
After sweep 1 energy=-12.499998614695944  maxlinkdim=64 maxerr=9.21E-16 time=0.135
After sweep 1 energy=-12.499999999995287  maxlinkdim=13 maxerr=9.90E-16 time=0.073
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=4.40E-16 time=0.016
